日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2000-01-04,576.58,601.56,609.79,567.1,82160,147324992,7.42,4.62,26.56,0.77
2000-01-05,603.46,594.29,619.27,592.39,93993,173475008,4.47,-1.21,-7.27,0.88
2000-01-06,593.03,617.06,625.6,584.49,120222,221192000,6.92,3.83,22.77,1.12
2000-01-07,624.02,641.09,648.36,620.85,229346,443592000,4.46,3.89,24.03,2.14
2000-01-10,649,660.06,670.82,648.36,185210,372294016,3.5,2.96,18.97,1.73
2000-01-11,660.38,624.02,661.96,617.69,126663,245867008,6.71,-5.46,-36.04,1.18
2000-01-12,624.02,599.98,630.34,596.5,91752,169418000,5.42,-3.85,-24.04,0.86
2000-01-13,598.72,596.82,605.04,589.23,50058,90723000,2.64,-0.53,-3.16,0.47
2000-01-14,596.82,588.6,604.73,584.49,55972,100267000,3.39,-1.38,-8.22,0.52
2000-01-17,589.23,594.92,595.56,576.58,34501,61534000,3.22,1.07,6.32,0.32
2000-01-18,592.39,582.59,594.92,579.11,46563,82818000,2.66,-2.07,-12.33,0.43
2000-01-19,576.58,585.75,587.65,576.58,37811,67007000,1.9,0.54,3.16,0.35
2000-01-20,586.07,586.39,589.23,578.16,58437,103508000,1.89,0.11,0.64,0.55
2000-01-21,586.07,591.13,600.62,581.64,86262,154067008,3.24,0.81,4.74,0.81
2000-01-24,589.55,576.58,590.81,567.1,112516,196243008,4.01,-2.46,-14.55,1.05
2000-01-25,576.58,583.54,601.56,576.58,83718,149259008,4.33,1.21,6.96,0.78
2000-01-26,583.54,581.01,588.6,576.58,47723,83862000,2.06,-0.43,-2.53,0.45
2000-01-27,581.33,588.92,597.77,578.16,73569,131076000,3.38,1.36,7.91,0.69
2000-01-28,592.39,609.15,610.73,581.64,167366,305519008,4.94,3.44,20.23,1.56
2000-02-14,630.34,667.34,667.65,614.53,233709,460704992,8.72,9.55,58.19,2.18
2000-02-15,671.45,637.93,687.58,627.18,350732,703966016,9.05,-4.41,-29.41,3.28
2000-02-16,633.5,618.64,633.5,610.1,215392,404820000,3.67,-3.02,-19.29,2.01
2000-02-17,618.64,617.69,645.83,599.67,358841,677313024,7.46,-0.15,-0.95,3.35
2000-02-18,617.38,605.36,617.38,597.14,139293,255056992,3.28,-2,-12.33,1.3
2000-02-21,605.36,621.17,639.83,592.39,237916,446412000,7.84,2.61,15.81,2.22
